pcsx2_dumped_crc32,pcxs2_normalized_png_crc32,pcsx2_alpha_stripped_crc32
0365b457,34fbeb5b,cb80bfbb
036833ae,68613217,06b6ef54
0368d900,788ebfe7,56bd97ac
036d86f4,f383cf64,12fba1e2
037063db,759fb58c,fd795975
03780200,7407fd66,00000000
038e2c7a,c2d128f0,e875e8d6
03959fae,55e9bf96,4cd1d8e7
039719d0,8fac798d,59522bb2
039a13ae,a4441f9a,927fb85a
039bad89,cddef267,ae97fd05
039cf376,2eed6dfe,bf01b018
03a5669b,00506d0b,f01e0282
03ba5990,6d7bb307,372796e6
03bf2508,9952d201,e6ae52b4
03c18a79,634d7a17,924d83de
03c358b7,de38e5d2,00000000
03c4f2d1,4a662b50,be6b55e8
03c595fd,ff455e88,35a79565
03caa3a7,f9d19cf0,4a7929a8
03cd7190,eca0352f,a8594e63
03d7257a,e85fa227,cfa77e22
03e2305a,4aa7ae32,111ca4cc
03e31eb3,b1899521,00000000
03e838ee,fab3f6fd,26fb6c16
03e86795,445a884e,1755c40c
03e9ba55,e3c619fa,afaf2de4
03e9c674,3400f1ab,062aae4f
03f855d2,6403efd7,00000000
03fa1f7d,0f88e8c0,c96e0f18
040149fd,185a9f79,01daae6d
04027eef,3b15807c,00000000
040542be,10c5c0a5,f59d8156
0405f4db,788b7022,88aa151e
04083c60,19831af1,a0cb33b7
04136288,1b8a5293,083aa9cd
04144156,1ad7eab9,e04c4840
0420f4c9,737ea22b,ba6b5d6d
04275920,4abe5174,558c9104
04289deb,0fd62eca,f17dfc94
042f5fef,2b16c6f3,915c647a
0430015e,43fda0e3,30630db6
04314274,a7767368,cf365ace
04388758,13e0bb1f,f2682830
0441069b,47d59efd,3e5a0411
044bbebc,100e305c,af4f6cf8
04651f9b,b9efe4e5,cdbf79ec
046cbaf6,07e10902,b2e38664
04712d89,641f9169,f44fbf93
0471fc86,58528c29,47689b4d
0479d3fa,d7645b4b,00000000
047de861,662336b1,00000000
0480e653,7cf5713b,d073be50
0495243e,54cadf8b,00000000
049eb9e5,beecfd1e,e3cea64e
04a773ad,165f44ab,f2ccece7
04a9daa8,b32a6cf0,25adc0cf
04ac5b6d,437c8858,2dd129b7
04ae95c2,de963eda,b4fc6a3b
04af67df,f43cc882,5ab4f9ee
04b24abf,8d71af0d,00000000
04b6737d,c67e948d,f501abba
