tri_name,region_folder,stage,tri_strcode
2d_tex_stage_d005p01,us,d021p01,715d80
2d_tex_stage_d005p01,us,d036p03,715d80
2d_tex_stage_d005p01,us,d036p05,715d80
2d_tex_stage_d005p01,us,d045p01,715d80
2d_tex_stage_d005p01,us,d046p01,715d80
2d_tex_stage_d005p01,us,d04t,715d80
2d_tex_stage_d005p01,us,d053p01,715d80
2d_tex_stage_d005p01,us,d055p01,715d80
2d_tex_stage_d005p01,us,d05t,715d80
2d_tex_stage_d005p01,us,d063p01,715d80
2d_tex_stage_d005p01,us,d065p02,715d80
2d_tex_stage_d005p01,us,d070p09,715d80
2d_tex_stage_d005p01,us,d070px9,715d80
2d_tex_stage_d005p01,us,d078p01,715d80
2d_tex_stage_d005p01,us,d080p01,715d80
2d_tex_stage_d005p01,us,d080p07,715d80
2d_tex_stage_d005p01,us,d082p01,715d80
2d_tex_stage_d005p01,us,d10t,715d80
2d_tex_stage_d005p01,us,d11t,715d80
2d_tex_stage_d005p01,us,d12t,715d80
2d_tex_stage_d005p01,us,d12t3,715d80
2d_tex_stage_d005p01,us,d12t4,715d80
2d_tex_stage_d005p01,us,d13t,715d80
2d_tex_stage_d005p01,us,d14t,715d80
2d_tex_stage_d005p01,us,sp01a,715d80
2d_tex_stage_d005p01,us,sp02a,715d80
2d_tex_stage_d005p01,us,sp03a,715d80
2d_tex_stage_d005p01,us,sp06a,715d80
2d_tex_stage_d005p01,us,sp07a,715d80
2d_tex_stage_d005p01,us,sp08a,715d80
2d_tex_stage_d005p01,us,sp21a,715d80
2d_tex_stage_d005p01,us,sp22a,715d80
2d_tex_stage_d005p01,us,sp24a,715d80
2d_tex_stage_d005p01,us,sp25a,715d80
2d_tex_stage_d005p01,us,st01a,715d80
2d_tex_stage_d005p01,us,st02a,715d80
2d_tex_stage_d005p01,us,st03a,715d80
2d_tex_stage_d005p01,us,st04a,715d80
2d_tex_stage_d005p01,us,st05a,715d80
2d_tex_stage_d005p01,us,tsp03a,715d80
2d_tex_stage_d005p01,us,tvs03a,715d80
2d_tex_stage_d005p01,us,tvs05a,715d80
2d_tex_stage_d005p01,us,tvs06a,715d80
2d_tex_stage_d005p01,us,tvs08a,715d80
2d_tex_stage_d005p01,us,twp03a,715d80
2d_tex_stage_d005p01,us,twp34a,715d80
2d_tex_stage_d005p01,us,twp43a,715d80
2d_tex_stage_d005p01,us,vs01a,715d80
2d_tex_stage_d005p01,us,vs02a,715d80
2d_tex_stage_d005p01,us,vs03a,715d80
2d_tex_stage_d005p01,us,vs04a,715d80
2d_tex_stage_d005p01,us,vs05a,715d80
2d_tex_stage_d005p01,us,vs06a,715d80
2d_tex_stage_d005p01,us,vs07a,715d80
2d_tex_stage_d005p01,us,vs08a,715d80
2d_tex_stage_d005p01,us,vs09a,715d80
2d_tex_stage_d005p01,us,vs10a,715d80
2d_tex_stage_d005p01,us,w51a,715d80
2d_tex_stage_d005p01,us,wp01a,715d80
2d_tex_stage_d005p01,us,wp02a,715d80
2d_tex_stage_d005p01,us,wp03a,715d80
2d_tex_stage_d005p01,us,wp04a,715d80
2d_tex_stage_d005p01,us,wp05a,715d80
2d_tex_stage_d005p01,us,wp11a,715d80
2d_tex_stage_d005p01,us,wp12a,715d80
2d_tex_stage_d005p01,us,wp13a,715d80
2d_tex_stage_d005p01,us,wp14a,715d80
2d_tex_stage_d005p01,us,wp15a,715d80
2d_tex_stage_d005p01,us,wp21a,715d80
2d_tex_stage_d005p01,us,wp22a,715d80
2d_tex_stage_d005p01,us,wp23a,715d80
2d_tex_stage_d005p01,us,wp24a,715d80
2d_tex_stage_d005p01,us,wp25a,715d80
2d_tex_stage_d005p01,us,wp31a,715d80
2d_tex_stage_d005p01,us,wp32a,715d80
2d_tex_stage_d005p01,us,wp33a,715d80
2d_tex_stage_d005p01,us,wp34a,715d80
2d_tex_stage_d005p01,us,wp35a,715d80
2d_tex_stage_d005p01,us,wp41a,715d80
2d_tex_stage_d005p01,us,wp42a,715d80
2d_tex_stage_d005p01,us,wp43a,715d80
2d_tex_stage_d005p01,us,wp44a,715d80
2d_tex_stage_d005p01,us,wp45a,715d80
2d_tex_stage_d005p01,us,wp51a,715d80
2d_tex_stage_d005p01,us,wp52a,715d80
2d_tex_stage_d005p01,us,wp53a,715d80
2d_tex_stage_d005p01,us,wp54a,715d80
2d_tex_stage_d005p01,us,wp55a,715d80
2d_tex_stage_d005p01,us,wp61a,715d80
2d_tex_stage_d005p01,us,wp62a,715d80
2d_tex_stage_d005p01,us,wp63a,715d80
2d_tex_stage_d005p01,us,wp64a,715d80
2d_tex_stage_d005p01,us,wp65a,715d80
2d_tex_stage_d005p01,us,wp71a,715d80
2d_tex_stage_d005p01,us,wp72a,715d80
2d_tex_stage_d005p01,us,wp73a,715d80
2d_tex_stage_d005p01,us,wp74a,715d80
2d_tex_stage_d005p01,us,wp75a,715d80
2d_tex_stage_w04a,us,w04a,715d80
2d_tex_stage_w04b,us,w04b,715d80
2d_tex_stage_w04c,us,w04c,715d80
2d_tex_stage_w11a,us,w11a,715d80
2d_tex_stage_w11a,us,w11b,715d80
2d_tex_stage_w11a,us,w11c,715d80
2d_tex_stage_w25b,us,w25b,715d80
2d_tex_stage_w32a,us,w32a,715d80
2d_tex_stage_w32a,us,w32b,715d80
2d_tex_stage_w43a,us,w43a,715d80
2d_tex_stage_w44a,us,w44a,715d80
2d_tex_stage_w45a,us,w45a,715d80
5_1ch,us,n_title,8050cb
a21a,us,a21a,314e81
a24b_a24c,us,a24b,83ecad
a28a_dummy,us,a28a,d01b29
a41a_pos01,us,a41b,8ef342
a43a,us,a43a,3156c1
a45a,us,a45a,315701
aaa,us,a00b,019081
aaa,us,w00b,019081
aaa_d00a2,us,d00t,bced56
aaa_sp_menu,eu,n_title,ac396b
aaa_sp_menu,us,n_title,ac396b
aaa_stage_a00c,us,a00c,019081
aaa_stage_a00c,us,w00c,019081
aaa_stage_a43a,us,a43a,019081
aaa_stage_a43a,us,w43a,019081
aaa_stage_d05t,us,d05t,019081
aaa_stair_kirikae,us,a01d,f11bd0
aaa_stair_kirikae,us,ta01d,f11bd0
aaa_stair_kirikae,us,w01d,f11bd0
aab,us,a00c,019082
aab,us,w00c,019082
aac,us,a00b,019083
aac,us,w00b,019083
aac_stage_d05t,us,d05t,019083
abk,us,a12a,0190ab
abk,us,a12b,0190ab
abk,us,a13a,0190ab
abk,us,a13b,0190ab
abk,us,a13c,0190ab
abk,us,a14a,0190ab
abk,us,a14b,0190ab
abk,us,a15a,0190ab
abk,us,a15b,0190ab
abk,us,a16a,0190ab
abk,us,a17a,0190ab
abk,us,a18a,0190ab
abk,us,a19a,0190ab
abk,us,a20a,0190ab
abk,us,a20b,0190ab
abk,us,a20e,0190ab
abk,us,a21a,0190ab
abk,us,a21b,0190ab
abk,us,a22a,0190ab
abk,us,a22b,0190ab
abk,us,a23a,0190ab
abk,us,a23b,0190ab
abk,us,a24a,0190ab
abk,us,a24b,0190ab
abk,us,a24c,0190ab
abk,us,a24d,0190ab
abk,us,a24g,0190ab
abk,us,a25d,0190ab
abk,us,a28a,0190ab
abk,us,a31a,0190ab
abk,us,d036p05,0190ab
abk,us,d065p02,0190ab
abk,us,sp03a,0190ab
abk,us,sp06a,0190ab
abk,us,sp08a,0190ab
abk,us,sp22a,0190ab
abk,us,sp24a,0190ab
abk,us,sp25a,0190ab
abk,us,st01a,0190ab
abk,us,st02a,0190ab
abk,us,st03a,0190ab
abk,us,st04a,0190ab
abk,us,st05a,0190ab
abk,us,ta12a,0190ab
abk,us,ta20a,0190ab
abk,us,ta22a,0190ab
abk,us,ta24a,0190ab
abk,us,ta31a,0190ab
abk,us,tsp03a,0190ab
abk,us,tvs03a,0190ab
abk,us,tvs05a,0190ab
abk,us,tvs06a,0190ab
abk,us,tvs08a,0190ab
abk,us,twp03a,0190ab
abk,us,vs01a,0190ab
abk,us,vs02a,0190ab
abk,us,vs03a,0190ab
abk,us,vs04a,0190ab
abk,us,vs05a,0190ab
abk,us,vs06a,0190ab
abk,us,vs07a,0190ab
abk,us,vs08a,0190ab
abk,us,vs09a,0190ab
abk,us,vs10a,0190ab
abk,us,w11a,0190ab
abk,us,w12a,0190ab
abk,us,w12b,0190ab
abk,us,w12c,0190ab
abk,us,w13a,0190ab
abk,us,w13b,0190ab
abk,us,w14a,0190ab
abk,us,w15a,0190ab
abk,us,w15b,0190ab
abk,us,w16b,0190ab
abk,us,w17a,0190ab
abk,us,w18a,0190ab
abk,us,w19a,0190ab
abk,us,w20a,0190ab
abk,us,w20b,0190ab
abk,us,w20d,0190ab
abk,us,w21a,0190ab
abk,us,w21b,0190ab
abk,us,w22a,0190ab
abk,us,w23a,0190ab
abk,us,w23b,0190ab
abk,us,w24a,0190ab
abk,us,w24b,0190ab
abk,us,w24c,0190ab
abk,us,w24d,0190ab
abk,us,w24e,0190ab
abk,us,w25b,0190ab
abk,us,w25c,0190ab
abk,us,w25d,0190ab
abk,us,w28a,0190ab
abk,us,w31d,0190ab
abk,us,w32a,0190ab
abk,us,wp01a,0190ab
abk,us,wp02a,0190ab
abk,us,wp03a,0190ab
abk,us,wp04a,0190ab
abk_amo,us,a12a,e12b19
abk_amo,us,a12b,e12b19
abk_amo,us,a13a,e12b19
abk_amo,us,a13b,e12b19
abk_amo,us,a13c,e12b19
abk_amo,us,a14a,e12b19
abk_amo,us,a14b,e12b19
abk_amo,us,a15a,e12b19
abk_amo,us,a15b,e12b19
abk_amo,us,a16a,e12b19
abk_amo,us,a17a,e12b19
abk_amo,us,a18a,e12b19
abk_amo,us,a19a,e12b19
abk_amo,us,a20a,e12b19
abk_amo,us,a20b,e12b19
abk_amo,us,a20e,e12b19
abk_amo,us,a21a,e12b19
abk_amo,us,a21b,e12b19
abk_amo,us,a22a,e12b19
abk_amo,us,a22b,e12b19
abk_amo,us,a23a,e12b19
abk_amo,us,a23b,e12b19
abk_amo,us,a24a,e12b19
abk_amo,us,a24b,e12b19
abk_amo,us,a24c,e12b19
abk_amo,us,a24d,e12b19
abk_amo,us,a24g,e12b19
abk_amo,us,a25d,e12b19
abk_amo,us,a28a,e12b19
abk_amo,us,a31a,e12b19
abk_amo,us,d036p05,e12b19
abk_amo,us,d065p02,e12b19
abk_amo,us,sp03a,e12b19
abk_amo,us,sp06a,e12b19
abk_amo,us,sp08a,e12b19
abk_amo,us,sp22a,e12b19
abk_amo,us,sp24a,e12b19
abk_amo,us,sp25a,e12b19
abk_amo,us,st01a,e12b19
abk_amo,us,st02a,e12b19
abk_amo,us,st03a,e12b19
abk_amo,us,st04a,e12b19
abk_amo,us,st05a,e12b19
abk_amo,us,ta12a,e12b19
abk_amo,us,ta20a,e12b19
abk_amo,us,ta22a,e12b19
abk_amo,us,ta24a,e12b19
abk_amo,us,ta31a,e12b19
abk_amo,us,tsp03a,e12b19
abk_amo,us,tvs03a,e12b19
abk_amo,us,tvs05a,e12b19
abk_amo,us,tvs06a,e12b19
abk_amo,us,tvs08a,e12b19
abk_amo,us,twp03a,e12b19
abk_amo,us,vs01a,e12b19
abk_amo,us,vs02a,e12b19
abk_amo,us,vs03a,e12b19
abk_amo,us,vs04a,e12b19
abk_amo,us,vs05a,e12b19
abk_amo,us,vs06a,e12b19
abk_amo,us,vs07a,e12b19
abk_amo,us,vs08a,e12b19
abk_amo,us,vs09a,e12b19
abk_amo,us,vs10a,e12b19
abk_amo,us,w11a,e12b19
abk_amo,us,w12a,e12b19
abk_amo,us,w12b,e12b19
abk_amo,us,w12c,e12b19
abk_amo,us,w13a,e12b19
abk_amo,us,w13b,e12b19
abk_amo,us,w14a,e12b19
abk_amo,us,w15a,e12b19
abk_amo,us,w15b,e12b19
abk_amo,us,w16b,e12b19
abk_amo,us,w17a,e12b19
abk_amo,us,w18a,e12b19
abk_amo,us,w19a,e12b19
abk_amo,us,w20a,e12b19
abk_amo,us,w20b,e12b19
abk_amo,us,w20d,e12b19
abk_amo,us,w21a,e12b19
abk_amo,us,w21b,e12b19
abk_amo,us,w22a,e12b19
abk_amo,us,w23a,e12b19
abk_amo,us,w23b,e12b19
abk_amo,us,w24a,e12b19
abk_amo,us,w24b,e12b19
abk_amo,us,w24c,e12b19
abk_amo,us,w24d,e12b19
abk_amo,us,w24e,e12b19
abk_amo,us,w25b,e12b19
abk_amo,us,w25c,e12b19
abk_amo,us,w25d,e12b19
abk_amo,us,w28a,e12b19
abk_amo,us,w31d,e12b19
abk_amo,us,w32a,e12b19
abk_amo,us,wp01a,e12b19
abk_amo,us,wp02a,e12b19
abk_amo,us,wp03a,e12b19
abk_amo,us,wp04a,e12b19
