texture_name,tri_dumped_alpha_stripped_sha1
0051b133,84b4fe4df1abf48bccafa58ec48b167c2c69ed6d
005255d8,7081f237a66969e9d47ac693fdcba1d3748e995e
0052f1a8,0000000000000000000000000000000000000000
005355d8,f0aa27901731318d4f551dfec55e2ddbe31d61e7
0053852b,0000000000000000000000000000000000000000
0053d14e,f9f444e0df05403e89a6589a9d8e4d74969bf74f
0053d891,ed66159616f3ba54294f0290555fcfb44ff84283
005480d6,0000000000000000000000000000000000000000
0055b270,13c54937b339e555f701a32837194af535c874c0
0055e1c2,d3eacd1a9d4148ba99eab478e349268b370df833
0056e1c2,669018f2502560d7989f25a5f220b92c4efd0066
00585d21,0000000000000000000000000000000000000000
0059975e,0000000000000000000000000000000000000000
005be756,061b31dccce70e419f6bbef478e80e73fb4c3101
005d4f23,47a142d811af34d18c40c37a6abeb9270fe15315
005d4f23_b39e4e9a25db3103157377fb4b8b0fec,0000000000000000000000000000000000000000
005d8f6f,0000000000000000000000000000000000000000
005db736,0000000000000000000000000000000000000000
005ef82e,0000000000000000000000000000000000000000
005fbe37,e83bd16c9414a1bb929d09a199deb5bab9485c2a
005ff82e,0000000000000000000000000000000000000000
005ff82e_177b36c205877f0112c491da63538970,0000000000000000000000000000000000000000
005ff82e_f97787dc7fe63e42e80355f33d14a0d4,0000000000000000000000000000000000000000
0060f82e,0000000000000000000000000000000000000000
0060f82e_0264bded5e12e838c3912158a2f4d769,0000000000000000000000000000000000000000
0060f82e_374e8e111c7b80fe71fb8546dc332f00,0000000000000000000000000000000000000000
0061f82e,0000000000000000000000000000000000000000
0061f82e_56a2e72ba853ea67570ccd655ca9d447,0000000000000000000000000000000000000000
0061f82e_ca18611ab4a038674f959c4e94e7aede,0000000000000000000000000000000000000000
006209d0,f07351c5e19b2b813df37c0c5421dd616ca852c4
006262b9,78f6b5a6df1de61e495f39891b381b6e8df43bfa
00626739,6be292f07597a9bf8ceb91daff8dd8e1c0bacb34
0062f82e,0000000000000000000000000000000000000000
0062f82e_3db2c3061fabc2281c2dd6b4130eedb9,0000000000000000000000000000000000000000
0062f82e_ca73d55a3d70d5450a3ed37eb948cb64,0000000000000000000000000000000000000000
0063f82e,0000000000000000000000000000000000000000
0063f82e_0d434fbe975ba169dfc89ffe2f3f2a27,0000000000000000000000000000000000000000
0063f82e_52b985aaa92b3207cd49053dffbf523d,0000000000000000000000000000000000000000
00645d05,0000000000000000000000000000000000000000
0064f82e,0000000000000000000000000000000000000000
0064f82e_923078466946a3acdea05dbf22e0f6e7,0000000000000000000000000000000000000000
0064f82e_db973ad91fc30e3c42f866a3eb7d4d74,0000000000000000000000000000000000000000
006597ed,0000000000000000000000000000000000000000
0065a618,0000000000000000000000000000000000000000
0065f82e,0000000000000000000000000000000000000000
0065f82e_599e1a822c915823a768daf1f6ee7174,0000000000000000000000000000000000000000
00667ab6,0000000000000000000000000000000000000000
00667ab6_ef3811ba64502191909b0210b17b8b02,0000000000000000000000000000000000000000
006697ed,0000000000000000000000000000000000000000
0066a618,0000000000000000000000000000000000000000
0066a618_476d380161520ae923d8f74ede9a2e8d,0000000000000000000000000000000000000000
0066f82e,0000000000000000000000000000000000000000
0066f82e_e37d08b66c98c80f675d8c6d9a2cebdb,0000000000000000000000000000000000000000
00671d9d,0000000000000000000000000000000000000000
00675c5a,6cf5063601389ea04e07ff585dc9fec1fe6eaf79
00678eb1,0df0c7b7ef016d7374551af06635b1b08fed7f01
006797ed,0000000000000000000000000000000000000000
006797ed_78cb3fd6e3dcae58893fa3ca96da3211,0000000000000000000000000000000000000000
0067a618,f31df0d4b8efc50ade37f246f370e0c2e046c36b
00681d9d,0000000000000000000000000000000000000000
00689021,31ef1140ef2d29ffcf887fb442f1350b81719e34
006893ec,0000000000000000000000000000000000000000
006897ed,0000000000000000000000000000000000000000
006897ed_b5a6bb72c760a236a2c84a220920037b,0000000000000000000000000000000000000000
0068a618,0000000000000000000000000000000000000000
0068a618_ba9ef0a583a2d517886f9b6c53e96e92,0000000000000000000000000000000000000000
00691d9d,dd4900ec4dedc7bb208002e4996e66b2e68b1d6b
00696652,abeb5406ac28cb98a89d79fe8cd8586fd749c4f5
00699021,61afa607ca096b6344498f14ddde93459ecfb8dc
006997ed,0000000000000000000000000000000000000000
006997ed_b20d65f1089467ce6fec4d3a8c8134c8,0000000000000000000000000000000000000000
0069e496,0000000000000000000000000000000000000000
006a97ed,0000000000000000000000000000000000000000
006a9dfd,0000000000000000000000000000000000000000
006aa618,0000000000000000000000000000000000000000
006aa618_5e5881ab87a4498b100e3983cca31058,0000000000000000000000000000000000000000
006af2ba,8e55d15c79ed91fc00c5e9f264fcd69aff78689e
006af2bb,c912afac4e12112f8a6f931cc4f29d77a3680f9d
006b325b,9f7812c023df0e2832fd23e0801596b1732b2c76
006b508f,0000000000000000000000000000000000000000
006b5ae3,7516f3d1fce6f5a37e36e54ad2612e530d1f53d8
006b9021,da3ea5a0b63a93e0801b966df9bd2515847b3dbd
006b97ed,0000000000000000000000000000000000000000
006ba618,4732def065a3b8f9c9a361a5fdbde54fcbead056
006baeb5,0000000000000000000000000000000000000000
006bcf85,a7f27bce77453b2849448b17ddc68e9ae0d3e8e1
006bcf85_3bbce8b6d10a47883f9038737995145a,e13e1ab764ecda9e3648631e71000a441172d211
006bf7fe,0000000000000000000000000000000000000000
006c556d,2edaa689e70e0bc9b9e0791e8191c1ffa398eedb
006c9021,0000000000000000000000000000000000000000
006c97ed,0000000000000000000000000000000000000000
006caeb5,9aa0e15ee994021e37ca777e8288cac1da8967ea
006cc7ed,495ae67702058121c4c16c16ef5ed89a4ad24a20
006d556d,0000000000000000000000000000000000000000
006d9021,0000000000000000000000000000000000000000
006d97ed,0000000000000000000000000000000000000000
006daeb5,25546e049b35c75ec33bca5353de2a71ae4e1981
006e6ff1,23c6607636b1f63f4fc015874e7cd0e7e47c508d
006e99ea,04ebd118a209e27ecb8a9db9d9037a4d95701987
006eaeb5,75c776879d92129a4b2fb7890e30dcee2cfd2861
006f2b75,4f3508e0ec683e8c9f5dd33f7d681117913f0c4d
006f6ff1,407cb3d1812fcf0a27f7e545fd0ee8f854000f87
006f7421,3dd6cc8ac47cf29723cb58962bc7df34c66bcb9b
006faeb5,c96b157c007f81e31e3649daa20e7fa5151f5284
00704ad1,0000000000000000000000000000000000000000
00706ff1,668ec8c9b369a9ddb54a2034a062fee5314d5277
0070aeb5,dff2dc2513c57a832c37cad12e3d545d4b2d3fd5
00710601,0000000000000000000000000000000000000000
007155d8,0000000000000000000000000000000000000000
00716ff1,0000000000000000000000000000000000000000
0071852b,0000000000000000000000000000000000000000
0072466d,40c137e08400c652ea65785ee28404b0b0727030
007246ed,5554fcb48d969f49e29e92eff760463ccd613ac2
0072476d,286b253a695c00c4f045a8338f6f395b3d44e84d
00724ad1,0000000000000000000000000000000000000000
007255d8,0000000000000000000000000000000000000000
00726ff1,ce1bf78644d1f54e5a964f8d71f4a38c23e3d6d8
00736ff1,0000000000000000000000000000000000000000
0073ecb6,0000000000000000000000000000000000000000
00744ad1,0000000000000000000000000000000000000000
00746ff1,6932101bb7384208bf3828b9571675b9106eac7f
00749dfd,0000000000000000000000000000000000000000
007559f0,0000000000000000000000000000000000000000
00758632,b2329c791a76764ca9fadcf32817e72021401826
00764ad1,0000000000000000000000000000000000000000
007655d8,28f80d137a64a0458e3c9369bd90ed9cfc0a3d6c
0076ad61,0000000000000000000000000000000000000000
0076ad61_791fdad64710d9802f4adcf5d0f3db51,0000000000000000000000000000000000000000
0076cd21,90495502c2ed1b30bad4026c6ecd722e7fcdbad9
00774c18,f99e6702cb1cbb520e888c40b6047f9c9f76aaef
00784ad1,0000000000000000000000000000000000000000
0078980c,23ea34f879a80fd0ccc8c094dcb376761aa0ab60
0078adc6,77990513c6bf2eec75110be514f4ec1fc9c7a423
0079852b,0000000000000000000000000000000000000000
007995dc,0000000000000000000000000000000000000000
007a0189,0000000000000000000000000000000000000000
007a4ad1,0000000000000000000000000000000000000000
007a9dfd,0000000000000000000000000000000000000000
007b651a,0000000000000000000000000000000000000000
007bb259,0000000000000000000000000000000000000000
007be718,6a529bf46a363cf8039f5d4728d5872e75673d6d
007c4ad1,0000000000000000000000000000000000000000
007c9dfd,0000000000000000000000000000000000000000
007e4ad1,0000000000000000000000000000000000000000
007f0488,0000000000000000000000000000000000000000
007f6817,d59293da38d943036ef2c373a9f15f36a2152db2
00804ad1,0000000000000000000000000000000000000000
00818625,0000000000000000000000000000000000000000
0081f6b5,0000000000000000000000000000000000000000
00824ad1,0000000000000000000000000000000000000000
00829016,0000000000000000000000000000000000000000
008387e2,0000000000000000000000000000000000000000
0083fa46,1223b59454eaad47dfec24619b181cfab3f9794c
00857db6,0000000000000000000000000000000000000000
0085a618,bea491a650ec07b19c1c8e681323772d0dc4fb7d
0086a618,0000000000000000000000000000000000000000
00885728,0000000000000000000000000000000000000000
0088b898,0000000000000000000000000000000000000000
0088c589,0000000000000000000000000000000000000000
00892df9,9bf40f984ef0e118961bd3010a8ee6261b2d64cf
00895b43,91c5e8879223720b5d4da024650939f642788b87
0089a618,0000000000000000000000000000000000000000
008a2128,0000000000000000000000000000000000000000
008a8469,0000000000000000000000000000000000000000
008aa618,0000000000000000000000000000000000000000
008ae623,934eb88a7fd2bd5bb4b84cf322d4ab6b1a6812f4
008ae623_fad237f35f44f84013d072b01d34bfc0,89e2c6b25db6accd4d199ff792f5470851c9282c
008ba618,0000000000000000000000000000000000000000
008c21a4,f37a98151d628ed5fac3b25ce2236e760e7265e9
008c4aba,0000000000000000000000000000000000000000
008c9a00,3a30512027b2b7b95a02ad9da4517daed7902b41
008cbb54,0000000000000000000000000000000000000000
008cc589,0000000000000000000000000000000000000000
008d752c,0000000000000000000000000000000000000000
008db9df,fcc73f2a7b672c02c0f9263b1c58080fa23ac74a
008dbe37,11c2bcb1402a0353ec7b2cc6434ad3a75695dd20
00919e1e,e30bba822a27e9767ef00f9a7091a3820c7abd1a
0091a721,0000000000000000000000000000000000000000
00925410,0000000000000000000000000000000000000000
0092ec26,0000000000000000000000000000000000000000
0092f25f,0000000000000000000000000000000000000000
00938001,421c15f3ca53e56bc098e570b6b36ce298140e14
0093cba3,0000000000000000000000000000000000000000
0094533a,42b1eb2f903c8ef8840582a2ee2a70b8f8fc675f
0094b3c7,0000000000000000000000000000000000000000
0094b8a4,0000000000000000000000000000000000000000
0094c618,0000000000000000000000000000000000000000
0094c618_302caf9734786b4cc1f4a66a958a6df1,0000000000000000000000000000000000000000
0095cb32,0000000000000000000000000000000000000000
0096e12a,0000000000000000000000000000000000000000
009720e7,7613aa22de78eee0cddb7262cfad22be27e23e32
00985407,0000000000000000000000000000000000000000
0098f24a,0000000000000000000000000000000000000000
0099a618,3d93fa5f78c09c55c90b639af1517407f67c4928
0099b8a4,0000000000000000000000000000000000000000
009ac0bf,2c392e925aef3483f9b38acf1c5feb06d57b1fe1
009bc0bf,63c1466d80452f4fcc1472c718ec89835cccf43d
009cc0bf,d60d2c7462ca35b03d1f042ddcc2ffe0a649b4dc
009dbc16,0000000000000000000000000000000000000000
009df079,0000000000000000000000000000000000000000
009e0995,6cf76d441e1741ade0d7f9c0ad5d6de02af59ca8
009eafa1,e1b05d36b2a40e70969d050fc5a204ad6c3e4f2b
009ebc16,0000000000000000000000000000000000000000
009f0995,b86c329180b98c8436a1fe37cf92cc85752192ed
009f2fba,0000000000000000000000000000000000000000
009fa21b,4f53000c767c4d3defb741515488a31675d3c08d
009fafa1,c50a2f2b4544bcd6c984e5caa025b86d6ceac9bf
009fbc16,0000000000000000000000000000000000000000
00a093d7,0000000000000000000000000000000000000000
00a0bc16,14d1bfc543d4420d511fee56795d296528b0d930
00a127a1,0000000000000000000000000000000000000000
00a1bc16,c0f1fd030ae6dd4480f1dc9e9ff9d719181ef9f3
00a225a6,12db85c6f15cded325d9ffa319661f7515586339
00a325a6,37d001e903b1ed510c9004ed2d9fa682146e65ea
00a415a4,7a643ce5d61216fa69d7b35f77df07778591be86
00a4b8a4,0000000000000000000000000000000000000000
00a628ba,0000000000000000000000000000000000000000
00a69783,0000000000000000000000000000000000000000
00a891e2,9ac901fae2e2b8b8bc9903b42d39d4f089ee7628
00a936cb,0000000000000000000000000000000000000000
00aa83e6,e39c4606724378aa21df9086a187eabdcd34f002
00acbe37,0000000000000000000000000000000000000000
00ad7f33,0000000000000000000000000000000000000000
00adb42a,0000000000000000000000000000000000000000
00aeebfc,0000000000000000000000000000000000000000
00af9412,5414b706bb3ecd4cf8d3591a09bb67495b2e2e70
00afab44,0000000000000000000000000000000000000000
00afb274,0000000000000000000000000000000000000000
00afbbc9,0000000000000000000000000000000000000000
00b02021,0000000000000000000000000000000000000000
00b04ad1,0000000000000000000000000000000000000000
00b087b2,03a6b8a1af45bc49c2da3c0cb4e8a267b1378d7b
00b12021,0000000000000000000000000000000000000000
00b15410,0000000000000000000000000000000000000000
00b22021,0000000000000000000000000000000000000000
00b24ad1,0000000000000000000000000000000000000000
00b25d10,4a4ca760516be30bf800d0ef03f234a015308dc0
00b32021,0000000000000000000000000000000000000000
00b33503,0000000000000000000000000000000000000000
00b3cb78,222907334ba633bae34a2833d2eef3c595072637
00b42021,0000000000000000000000000000000000000000
00b44ad1,0000000000000000000000000000000000000000
00b60372,69a8dca1211ea5ba97ea202a2d4ab112ec26a085
00b64ad1,0000000000000000000000000000000000000000
00b6ea23,eb01275bfe1248298462411c83c9be97ef7e560d
00b6eb2c,b675b99eacab62718eea85b350eddcce19c2e2b4
00b7b270,693174895f0b75207eda8e45c3e80e5ef60b42ee
00b84ad1,0000000000000000000000000000000000000000
00b89205,0000000000000000000000000000000000000000
00b8cb7a,0000000000000000000000000000000000000000
00b99205,0000000000000000000000000000000000000000
00ba4ad1,0000000000000000000000000000000000000000
00ba619d,1f025b3ac218c7a152d635385d81d7cf4c6bc659
00ba9205,0000000000000000000000000000000000000000
00bb5e27,0baf9466eaffac8402938b3f09f0020c12c81c15
00bb9205,0000000000000000000000000000000000000000
00bc4ad1,0000000000000000000000000000000000000000
00bc9205,da0cd923502d4daf6d138757fba2d2cd8e8be102
00be4ad1,0000000000000000000000000000000000000000
00be80b9,6f2adf6cba8dfcf2a9d93acd8a04497210a1e68b
00bf085a,0000000000000000000000000000000000000000
00bfbb06,0000000000000000000000000000000000000000
00c04ad1,0000000000000000000000000000000000000000
00c10972,accd65808e9809f07c1c6777d574447ed3f21ba6
00c1181b,2b0098f40e2cd690dda7bf133980e0402721335d
00c24ad1,0000000000000000000000000000000000000000
00c2df96,0000000000000000000000000000000000000000
00c3e4f6,0000000000000000000000000000000000000000
00c45897,aecb0f33b036187602cacebe8f8cb6dea20c0c0a
00c489c5,0000000000000000000000000000000000000000
