BP Comparison Log - 2025-10-29 02:09:27
================================================================================

REMADE FILES
--------------------------------------------------------------------------------
[BP REMADE] 0017bbf5.tga | original: 36x72 | ceil_p^2: 64x128 | hdc/mc: 72x144
[BP REMADE] 00180189.tga | original: 32x32 | ceil_p^2: 32x32 | hdc/mc: 64x64
[BP REMADE] 001a8739.tga | original: 156x60 | ceil_p^2: 256x64 | hdc/mc: 312x120
[BP REMADE] 001a8739_9b95ed97d41ce0c9da24766f77e0bf35.tga | original: 156x60 | ceil_p^2: 256x64 | hdc/mc: 312x120
[BP REMADE] 001bb358.tga | original: 282x16 | ceil_p^2: 512x16 | hdc/mc: 564x32
[BP REMADE] 001cd071.tga | original: 18x16 | ceil_p^2: 32x16 | hdc/mc: 36x32
[BP REMADE] 001f2016.tga | original: 72x32 | ceil_p^2: 128x32 | hdc/mc: 144x64
[BP REMADE] 00202016.tga | original: 72x32 | ceil_p^2: 128x32 | hdc/mc: 144x64
[BP REMADE] 00207af5.tga | original: 148x16 | ceil_p^2: 256x16 | hdc/mc: 296x32
[BP REMADE] 0020c7c1.tga | original: 158x12 | ceil_p^2: 256x16 | hdc/mc: 316x24
[BP REMADE] 0020e3c2.tga | original: 96x12 | ceil_p^2: 128x16 | hdc/mc: 192x24
[BP REMADE] 0020fb52.tga | original: 216x12 | ceil_p^2: 256x16 | hdc/mc: 432x24
[BP REMADE] 00212016.tga | original: 72x32 | ceil_p^2: 128x32 | hdc/mc: 144x64
[BP REMADE] 0021e3c2.tga | original: 96x12 | ceil_p^2: 128x16 | hdc/mc: 192x24
[BP REMADE] 00222016.tga | original: 72x32 | ceil_p^2: 128x32 | hdc/mc: 144x64
[BP REMADE] 0022e3c2.tga | original: 96x12 | ceil_p^2: 128x16 | hdc/mc: 192x24
[BP REMADE] 00232016.tga | original: 72x32 | ceil_p^2: 128x32 | hdc/mc: 144x64
[BP REMADE] 00232162.tga | original: 144x96 | ceil_p^2: 256x128 | hdc/mc: 288x192
[BP REMADE] 002387da.tga | original: 56x52 | ceil_p^2: 64x64 | hdc/mc: 112x104
[BP REMADE] 00238df3.tga | original: 64x64 | ceil_p^2: 64x64 | hdc/mc: 128x128
[BP REMADE] 0023ace3.tga | original: 154x12 | ceil_p^2: 256x16 | hdc/mc: 308x24
[BP REMADE] 00242016.tga | original: 72x32 | ceil_p^2: 128x32 | hdc/mc: 144x64
[BP REMADE] 00248df3.tga | original: 64x64 | ceil_p^2: 64x64 | hdc/mc: 128x128
[BP REMADE] 002515dc.tga | original: 208x12 | ceil_p^2: 256x16 | hdc/mc: 416x24
[BP REMADE] 00252016.tga | original: 72x32 | ceil_p^2: 128x32 | hdc/mc: 144x64
[BP REMADE] 00253181.tga | original: 52x32 | ceil_p^2: 64x32 | hdc/mc: 104x64
[BP REMADE] 00262016.tga | original: 72x32 | ceil_p^2: 128x32 | hdc/mc: 144x64
[BP REMADE] 00265522.tga | original: 54x12 | ceil_p^2: 64x16 | hdc/mc: 108x24
[BP REMADE] 0026f2fc.tga | original: 312x12 | ceil_p^2: 512x16 | hdc/mc: 624x24
[BP REMADE] 00272016.tga | original: 72x32 | ceil_p^2: 128x32 | hdc/mc: 144x64
[BP REMADE] 00273921.tga | original: 296x12 | ceil_p^2: 512x16 | hdc/mc: 592x24
