texture_name,mc_tri_dumped_sha1,mc_tri_dumped_alpha_levels,mc_tri_dumped_width,mc_tri_height,mc_tri_width_ciel2,mc_tri_height_ciel2
crd_pp05.bmp,16a620a5d8afeb991b3d856dddd6a6eb2c7ff5ee,"[16, 128, 255]",56,64,64,64
crd_pp05.bmp_276e6284cf2e0055cf730766f998bbac,d6291ca771c87a70b7981c548cb483d035aba176,"[16, 128, 246, 250, 251, 254]",56,64,64,64
w04_demo_scr_haen_right_alp.bmp,58cfc4f3ebef2fa7a5f3be106720d0c00112e68e,"[9, 11, 16, 24, 26, 28, 29, 30, 31, 32, 33, 35, 37, 38, 41, 43, 44, 45, 46, 47, 48, 53, 54, 55, 56, 62, 67, 69, 70, 71, 72, 73, 74, 75, 76, 77, 79, 80, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 112, 113, 116, 118, 119, 120, 121, 122, 123, 124, 125, 126, 128, 191]",28,26,32,32
