texture_name,sha1,subfolder_1,subfolder_2,filename
0b52f7,ba8fafbcacedf91b4d06d3004f0fcd79e8e1799e,tr01a,fbbaaf,0b52f7.png
0b52f7,ba8fafbcacedf91b4d06d3004f0fcd79e8e1799e,tr02a,fbbaaf,0b52f7.png
0b52f7,ba8fafbcacedf91b4d06d3004f0fcd79e8e1799e,tr03a,fbbaaf,0b52f7.png
0ba1ec,58bb9d6793b70d6db0484c5f6e74c6bdc06ddced,tr01a,573de0,0ba1ec.png
0ba1ec,58bb9d6793b70d6db0484c5f6e74c6bdc06ddced,tr02a,573de0,0ba1ec.png
0ba1ec,58bb9d6793b70d6db0484c5f6e74c6bdc06ddced,tr03a,573de0,0ba1ec.png
0ba1ec,58bb9d6793b70d6db0484c5f6e74c6bdc06ddced,tr04a,573de0,0ba1ec.png
0ba1ec,58bb9d6793b70d6db0484c5f6e74c6bdc06ddced,tr05a,573de0,0ba1ec.png
0c8982,bceecc1c6f013269970802f2f7840c6a5ac6a6f6,tr01a,573de0,0c8982.png
0c8982,bceecc1c6f013269970802f2f7840c6a5ac6a6f6,tr02a,573de0,0c8982.png
0c8982,bceecc1c6f013269970802f2f7840c6a5ac6a6f6,tr03a,573de0,0c8982.png
0cdb9f,70f7f22a71659ba10c38c3b29d94e9cdcae2c0b4,r_vr_s,55aab1,0cdb9f.png
0cde91,b503ee37572663ef33a1cf49674daac2b1b0f7e9,tr01a,e4b49f,0cde91.png
0cde91,b503ee37572663ef33a1cf49674daac2b1b0f7e9,tr02a,e4b49f,0cde91.png
0cde91,b503ee37572663ef33a1cf49674daac2b1b0f7e9,tr05a,e4b49f,0cde91.png
0d202a,a7f920bcf54a7aa2d6699ff31f09fb1ab1e1c0d7,r_vr_b,31ead4,0d202a.png
0d202a,a7f920bcf54a7aa2d6699ff31f09fb1ab1e1c0d7,r_vr_b,567f12,0d202a.png
0d202a,a7f920bcf54a7aa2d6699ff31f09fb1ab1e1c0d7,r_vr_r,31ead4,0d202a.png
0d202a,a7f920bcf54a7aa2d6699ff31f09fb1ab1e1c0d7,r_vr_r,567f12,0d202a.png
0d5c59,a5b47cfbca52955a782823a79f3bd1761e2d2822,r_vr_b,899c71,0d5c59.png
0d5c59,a5b47cfbca52955a782823a79f3bd1761e2d2822,r_vr_r,899c71,0d5c59.png
0d5c59,a5b47cfbca52955a782823a79f3bd1761e2d2822,r_vr_s,899c71,0d5c59.png
0da67e,5cd3fa32f9fc7b59d63630dbfcf8d549fd85de84,tr03a,6b249f,0da67e.png
0e472f,caee3966b43774d0586ca2e80f0245507b35d32d,tr01a,883186,0e472f.png
0e472f,caee3966b43774d0586ca2e80f0245507b35d32d,tr02a,883186,0e472f.png
0e472f,caee3966b43774d0586ca2e80f0245507b35d32d,tr03a,883186,0e472f.png
0e472f,caee3966b43774d0586ca2e80f0245507b35d32d,tr04a,883186,0e472f.png
0ede91,bee6cb346b528798b6df477162a745f8f42f11fb,tr01a,7fdb90,0ede91.png
0ede91,bee6cb346b528798b6df477162a745f8f42f11fb,tr01a,e4b49f,0ede91.png
0ede91,bee6cb346b528798b6df477162a745f8f42f11fb,tr02a,7fdb90,0ede91.png
0ede91,bee6cb346b528798b6df477162a745f8f42f11fb,tr02a,e4b49f,0ede91.png
0ede91,bee6cb346b528798b6df477162a745f8f42f11fb,tr05a,e4b49f,0ede91.png
0f57e5,bb16b8a03f68c5177468d92c45d4684a590f0a41,r_vr_b,31ead1,0f57e5.png
0fde91,b156a160b291277680701599adec6a3065fbb54a,tr01a,7fdb90,0fde91.png
0fde91,b156a160b291277680701599adec6a3065fbb54a,tr01a,e4b49f,0fde91.png
0fde91,b156a160b291277680701599adec6a3065fbb54a,tr02a,7fdb90,0fde91.png
0fde91,b156a160b291277680701599adec6a3065fbb54a,tr02a,e4b49f,0fde91.png
0fde91,b156a160b291277680701599adec6a3065fbb54a,tr05a,e4b49f,0fde91.png
0fe152,1f1f0fb6495a92e18a043cbd7b246bfa3c447ba2,r_vr_b,31ead4,0fe152.png
0fe901,94b51445aaeeb30c962b21556681d41cb79ca983,tr01a,9e05c5,0fe901.png
0fe901,94b51445aaeeb30c962b21556681d41cb79ca983,tr02a,9e05c5,0fe901.png
0fe901,94b51445aaeeb30c962b21556681d41cb79ca983,tr03a,9e05c5,0fe901.png
0ff29c,8ef91e7d894d897cfe124e9dbdf5e370da141d7a,tr01a,573de0,0ff29c.png
0ff29c,8ef91e7d894d897cfe124e9dbdf5e370da141d7a,tr02a,573de0,0ff29c.png
0ff29c,8ef91e7d894d897cfe124e9dbdf5e370da141d7a,tr03a,573de0,0ff29c.png
0ff29c,8ef91e7d894d897cfe124e9dbdf5e370da141d7a,tr04a,573de0,0ff29c.png
0ff29c,8ef91e7d894d897cfe124e9dbdf5e370da141d7a,tr05a,573de0,0ff29c.png
102cbc,2502884803f06d278ffe85982319d53f7723f9dd,tr01a,573de0,102cbc.png
102cbc,2502884803f06d278ffe85982319d53f7723f9dd,tr02a,573de0,102cbc.png
102cbc,2502884803f06d278ffe85982319d53f7723f9dd,tr03a,573de0,102cbc.png
